"AED"	"0"	"Currency"
"AFG"	"9163"	"Country name"
"AFN"	"5230"	"Currency"
"AGO"	"211"	"Country name"
"ALB"	"466"	"Country name"
"ALL"	"36"	"Currency"
"AMD"	"13"	"Currency"
"AND"	"31"	"Country name"
"ANG"	"0"	"Currency"
"AOA"	"3"	"Currency"
"APEC"	"410"	"Organization"
"ARE"	"541"	"Country name"
"ARG"	"5639"	"Country name"
"ARM"	"702"	"Country name"
"ARS"	"10"	"Currency"
"ASEAN"	"198"	"Organization"
"AU"	"1331"	"Organization"
"AUD"	"54"	"Currency"
"AUS"	"22917"	"Country name"
"AUT"	"2866"	"Country name"
"AWG"	"0"	"Currency"
"AZE"	"313"	"Country name"
"AZN"	"0"	"Currency"
"BAM"	"0"	"Currency"
"BBD"	"1151"	"Currency"
"BDI"	"1086"	"Country name"
"BDT"	"7"	"Currency"
"BEL"	"8260"	"Country name"
"BEN"	"148"	"Country name"
"BFA"	"1056"	"Country name"
"BGD"	"1847"	"Country name"
"BGN"	"0"	"Currency"
"BGR"	"763"	"Country name"
"BHD"	"4"	"Currency"
"BHR"	"616"	"Country name"
"BHS"	"183"	"Country name"
"BIF"	"0"	"Currency"
"BLR"	"1551"	"Country name"
"BLZ"	"43"	"Country name"
"BMD"	"3829"	"Currency"
"BND"	"1151"	"Currency"
"BOB"	"380"	"Currency"
"BOL"	"1867"	"Country name"
"BOV"	"0"	"Currency"
"BRA"	"10832"	"Country name"
"BRB"	"76"	"Country name"
"BRL"	"4"	"Currency"
"BSD"	"1153"	"Currency"
"BTN"	"83"	"Country name"
"BWA"	"83"	"Country name"
"BWP"	"16"	"Currency"
"BYR"	"0"	"Currency"
"BZD"	"1151"	"Currency"
"CAD"	"17"	"Currency"
"CAF"	"900"	"Country name"
"CAN"	"6980"	"Country name"
"CCK"	"0"	"Country name"
"CDF"	"0"	"Currency"
"CHE"	"7143"	"Country name"
"CHF"	"2712"	"Currency"
"CHL"	"4275"	"Country name"
"CHN"	"32985"	"Country name"
"CHW"	"0"	"Currency"
"CLF"	"529"	"Currency"
"CLP"	"5"	"Currency"
"CMR"	"901"	"Country name"
"CNY"	"20"	"Currency"
"COG"	"1134"	"Country name"
"COK"	"0"	"Country name"
"COL"	"5398"	"Country name"
"COM"	"17"	"Country name"
"COP"	"2"	"Currency"
"COU"	"577"	"Currency"
"CPV"	"24"	"Country name"
"CRC"	"0"	"Currency"
"CRI"	"38"	"Country name"
"CUB"	"6949"	"Country name"
"CUP"	"4"	"Currency"
"CVE"	"2"	"Currency"
"CXR"	"0"	"Country name"
"CYP"	"648"	"Country name"
"CZE"	"858"	"Country name"
"CZK"	"0"	"Currency"
"DEU"	"18946"	"Country name"
"DJF"	"23"	"Currency"
"DJI"	"152"	"Country name"
"DKK"	"2"	"Currency"
"DMA"	"859"	"Country name"
"DNK"	"2158"	"Country name"
"DOM"	"512"	"Country name"
"DOP"	"0"	"Currency"
"DZA"	"2457"	"Country name"
"DZD"	"0"	"Currency"
"ECCAS"	"0"	"Organization"
"ECOWAS"	"63"	"Organization"
"EEK"	"0"	"Currency"
"EGP"	"13"	"Currency"
"EGY"	"11614"	"Country name"
"ERI"	"256"	"Country name"
"ERN"	"0"	"Currency"
"ESH"	"163"	"Country name"
"ESP"	"16807"	"Country name"
"EST"	"375"	"Country name"
"ETB"	"0"	"Currency"
"ETH"	"886"	"Country name"
"EU"	"16965"	"Organization"
"EUR"	"32055"	"Currency"
"FIN"	"668"	"Country name"
"FJD"	"1151"	"Currency"
"FJI"	"313"	"Country name"
"FKP"	"0"	"Currency"
"FLK"	"0"	"Country name"
"FRA"	"30927"	"Country name"
"FRO"	"1"	"Country name"
"FTAA"	"4"	"Organization"
"G8"	"229"	"Organization"
"GAB"	"58"	"Country name"
"GBP"	"308"	"Currency"
"GBR"	"63913"	"Country name"
"GEL"	"63"	"Currency"
"GEO"	"1129"	"Country name"
"GHA"	"456"	"Country name"
"GHS"	"34"	"Currency"
"GIN"	"1933"	"Country name"
"GIP"	"45"	"Currency"
"GMB"	"223"	"Country name"
"GMD"	"2"	"Currency"
"GNB"	"65"	"Country name"
"GNF"	"0"	"Currency"
"GNQ"	"21"	"Country name"
"GRC"	"9835"	"Country name"
"GRD"	"1028"	"Country name"
"GRL"	"77"	"Country name"
"GTM"	"812"	"Country name"
"GTQ"	"4"	"Currency"
"GUY"	"244"	"Country name"
"GYD"	"0"	"Currency"
"HKD"	"10"	"Currency"
"HKG"	"93"	"Country name"
"HND"	"676"	"Country name"
"HNL"	"3"	"Currency"
"HRK"	"2"	"Currency"
"HRV"	"429"	"Country name"
"HTG"	"34"	"Currency"
"HTI"	"941"	"Country name"
"HUF"	"14"	"Currency"
"HUN"	"1102"	"Country name"
"IDN"	"5852"	"Country name"
"IDR"	"23"	"Currency"
"ILS"	"3"	"Currency"
"IND"	"23176"	"Country name"
"INR"	"4"	"Currency"
"IQD"	"4"	"Currency"
"IRL"	"2591"	"Country name"
"IRN"	"13827"	"Country name"
"IRQ"	"22372"	"Country name"
"IRR"	"2"	"Currency"
"ISK"	"1"	"Currency"
"ISL"	"505"	"Country name"
"ISR"	"23083"	"Country name"
"ITA"	"13262"	"Country name"
"JAM"	"578"	"Country name"
"JMD"	"0"	"Currency"
"JOD"	"0"	"Currency"
"JOR"	"2975"	"Country name"
"JPN"	"21900"	"Country name"
"JPY"	"31"	"Currency"
"KAZ"	"507"	"Country name"
"KEN"	"3026"	"Country name"
"KES"	"7"	"Currency"
"KGS"	"24443"	"Currency"
"KGZ"	"109"	"Country name"
"KHM"	"759"	"Country name"
"KHR"	"8"	"Currency"
"KIR"	"16"	"Country name"
"KMF"	"0"	"Currency"
"KNA"	"6"	"Country name"
"KOR"	"3866"	"Country name"
"KPW"	"4"	"Currency"
"KRW"	"34"	"Currency"
"KWD"	"0"	"Currency"
"KWT"	"780"	"Country name"
"KYD"	"1153"	"Currency"
"KZT"	"3"	"Currency"
"LAK"	"88"	"Currency"
"LAS"	"674"	"Organization"
"LBN"	"5515"	"Country name"
"LBP"	"1"	"Currency"
"LBR"	"2711"	"Country name"
"LBY"	"7136"	"Country name"
"LCA"	"13"	"Country name"
"LIE"	"19"	"Country name"
"LKA"	"727"	"Country name"
"LKR"	"1"	"Currency"
"LRD"	"0"	"Currency"
"LSL"	"5"	"Currency"
"LSO"	"139"	"Country name"
"LTL"	"9"	"Currency"
"LTU"	"418"	"Country name"
"LUX"	"628"	"Country name"
"LVA"	"471"	"Country name"
"LVL"	"3"	"Currency"
"LYD"	"2"	"Currency"
"MAC"	"145"	"Country name"
"MAD"	"0"	"Currency"
"MAR"	"1577"	"Country name"
"MCO"	"193"	"Country name"
"MDA"	"354"	"Country name"
"MDG"	"167"	"Country name"
"MDL"	"0"	"Currency"
"MDV"	"1856"	"Country name"
"MEX"	"8604"	"Country name"
"MGA"	"0"	"Currency"
"MHL"	"257"	"Country name"
"MKD"	"413"	"Country name"
"MLI"	"3687"	"Country name"
"MLT"	"380"	"Country name"
"MMK"	"1"	"Currency"
"MMR"	"2561"	"Country name"
"MNE"	"55"	"Country name"
"MNG"	"251"	"Country name"
"MNT"	"0"	"Currency"
"MOP"	"1"	"Currency"
"MOZ"	"273"	"Country name"
"MRO"	"0"	"Currency"
"MRT"	"203"	"Country name"
"MTL"	"0"	"Currency"
"MUR"	"1"	"Currency"
"MUS"	"225"	"Country name"
"MVR"	"0"	"Currency"
"MWI"	"204"	"Country name"
"MWK"	"1"	"Currency"
"MXN"	"7"	"Currency"
"MXV"	"529"	"Currency"
"MYR"	"6"	"Currency"
"MYS"	"9679"	"Country name"
"MZN"	"0"	"Currency"
"NAD"	"1151"	"Currency"
"NAM"	"139"	"Country name"
"NATO"	"2850"	"Organization"
"NER"	"11263"	"Country name"
"NGA"	"10992"	"Country name"
"NGN"	"73"	"Currency"
"NIC"	"563"	"Country name"
"NIO"	"0"	"Currency"
"NOK"	"1"	"Currency"
"NOR"	"1388"	"Country name"
"NPL"	"4713"	"Country name"
"NPR"	"1"	"Currency"
"NRU"	"266"	"Country name"
"NZD"	"8"	"Currency"
"NZL"	"432"	"Country name"
"OAS"	"370"	"Organization"
"OECD"	"182"	"Organization"
"OMN"	"284"	"Country name"
"OMR"	"0"	"Currency"
"OPEC"	"223"	"Organization"
"PAB"	"5"	"Currency"
"PAK"	"8052"	"Country name"
"PAN"	"1141"	"Country name"
"PEN"	"2"	"Currency"
"PER"	"1726"	"Country name"
"PGK"	"129"	"Currency"
"PHL"	"3551"	"Country name"
"PHP"	"3"	"Currency"
"PKR"	"0"	"Currency"
"PLN"	"5"	"Currency"
"PLW"	"17"	"Country name"
"PNG"	"50"	"Country name"
"POL"	"3336"	"Country name"
"PRK"	"1839"	"Country name"
"PRT"	"1189"	"Country name"
"PRY"	"559"	"Country name"
"PYG"	"20"	"Currency"
"QAR"	"1"	"Currency"
"QAT"	"1810"	"Country name"
"RON"	"0"	"Currency"
"ROU"	"942"	"Country name"
"RSD"	"0"	"Currency"
"RUB"	"34"	"Currency"
"RWA"	"728"	"Country name"
"RWF"	"4"	"Currency"
"SADC"	"11"	"Organization"
"SAR"	"2"	"Currency"
"SAU"	"5694"	"Country name"
"SBD"	"1153"	"Currency"
"SCR"	"0"	"Currency"
"SDG"	"5"	"Currency"
"SDN"	"2802"	"Country name"
"SEK"	"3"	"Currency"
"SEN"	"809"	"Country name"
"SGD"	"8"	"Currency"
"SGP"	"1640"	"Country name"
"SHP"	"45"	"Currency"
"SKK"	"0"	"Currency"
"SLB"	"58"	"Country name"
"SLE"	"394"	"Country name"
"SLL"	"1724"	"Currency"
"SLV"	"903"	"Country name"
"SMR"	"0"	"Country name"
"SOM"	"2368"	"Country name"
"SOS"	"0"	"Currency"
"SRB"	"1138"	"Country name"
"SRD"	"0"	"Currency"
"SSD"	"303"	"Country name"
"STD"	"0"	"Currency"
"STP"	"0"	"Country name"
"SUR"	"56"	"Country name"
"SVK"	"308"	"Country name"
"SVN"	"222"	"Country name"
"SWE"	"2410"	"Country name"
"SWZ"	"24"	"Country name"
"SYC"	"3735"	"Country name"
"SYP"	"3"	"Currency"
"SYR"	"25214"	"Country name"
"SZL"	"0"	"Currency"
"TCD"	"969"	"Country name"
"TGO"	"86"	"Country name"
"THA"	"5039"	"Country name"
"THB"	"33"	"Currency"
"TJK"	"154"	"Country name"
"TJS"	"0"	"Currency"
"TKM"	"124"	"Country name"
"TLS"	"104"	"Country name"
"TMM"	"18"	"Currency"
"TND"	"0"	"Currency"
"TON"	"80"	"Country name"
"TOP"	"3"	"Currency"
"TRY"	"18"	"Currency"
"TTD"	"73"	"Currency"
"TTO"	"14"	"Country name"
"TUN"	"3738"	"Country name"
"TUR"	"11369"	"Country name"
"TUV"	"9"	"Country name"
"TWD"	"6"	"Currency"
"TWN"	"1558"	"Country name"
"TZA"	"409"	"Country name"
"TZS"	"3"	"Currency"
"UAH"	"45"	"Currency"
"UGA"	"949"	"Country name"
"UGX"	"1"	"Currency"
"UKR"	"36935"	"Country name"
"UN"	"16362"	"Organization"
"URY"	"1532"	"Country name"
"USA"	"120846"	"Country name"
"USD"	"590"	"Currency"
"USN"	"0"	"Currency"
"USS"	"0"	"Currency"
"UYU"	"2"	"Currency"
"UZB"	"163"	"Country name"
"UZS"	"0"	"Currency"
"VAT"	"11265"	"Country name"
"VCT"	"8"	"Country name"
"VEB"	"0"	"Currency"
"VEN"	"5753"	"Country name"
"VND"	"15"	"Currency"
"VNM"	"1876"	"Country name"
"VUT"	"420"	"Country name"
"VUV"	"1"	"Currency"
"WSM"	"75"	"Country name"
"WST"	"29"	"Currency"
"WTO"	"149"	"Organization"
"XAF"	"1"	"Currency"
"XAG"	"8"	"Currency"
"XAU"	"1"	"Currency"
"XBA"	"26089"	"Currency"
"XBB"	"26089"	"Currency"
"XBC"	"26089"	"Currency"
"XBD"	"26089"	"Currency"
"XCD"	"23"	"Currency"
"XDR"	"3"	"Currency"
"XFO"	"2"	"Currency"
"XFU"	"2"	"Currency"
"XOF"	"1"	"Currency"
"XPD"	"1"	"Currency"
"XPF"	"0"	"Currency"
"XPT"	"0"	"Currency"
"XTS"	"14"	"Currency"
"XXX"	"5"	"Country name"
"YEM"	"7532"	"Country name"
"YER"	"0"	"Currency"
"ZAF"	"2969"	"Country name"
"ZAR"	"60"	"Currency"
"ZMB"	"310"	"Country name"
"ZMK"	"0"	"Currency"
"ZWD"	"2"	"Currency"
"ZWE"	"533"	"Country name"
